year,bib,name,sex,category,utmb_index,status,raceTime,rank_scratch,rank_cat,rank_sex,startDate,lastPassage_pointId,lastPassage_time,runnerUrl
2024,3001,Dorian POIX,MALE,SE H,0,WITHDRAWN,52523,1268.0,388.0,952.0,2024-10-18T00:59:52.000+04:00,56,52523,https://utmb.world/runner/4579558.dorian.poix
2024,3002,Bastien ESTEVENON,MALE,SE H,469,FINISHER,71403,1008.0,337.0,794.0,2024-10-18T00:59:52.000+04:00,64,71403,https://utmb.world/runner/5042406.bastien.estevenon
2024,3003,Willy JEANNEAU,MALE,M4 H,0,FINISHER,49600,234.0,5.0,213.0,2024-10-18T00:59:52.000+04:00,64,49600,https://utmb.world/runner/152413.willy.jeanneau
2024,3004,Fabien MOREL,MALE,SE H,0,FINISHER,70118,947.0,324.0,757.0,2024-10-18T01:09:53.000+04:00,64,70118,
2024,3005,Laura ROSELY,FEMALE,SE F,0,WITHDRAWN,38373,1356.0,165.0,339.0,2024-10-18T01:09:53.000+04:00,52,38373,
2024,3006,Morgane RAISON,FEMALE,M0 F,0,FINISHER,53003,355.0,7.0,33.0,2024-10-18T00:59:52.000+04:00,64,53003,https://utmb.world/runner/921233.morgane.raison
2024,3007,William DALLEAU,MALE,M2 H,544,FINISHER,47894,178.0,12.0,160.0,2024-10-18T00:59:52.000+04:00,64,47894,https://utmb.world/runner/3689891.william.dalleau
2024,3008,Alexandre PETIT,MALE,M0 H,0,FINISHER,49887,243.0,52.0,221.0,2024-10-18T00:59:52.000+04:00,64,49887,
2024,3009,Sonny AH - HING,MALE,M4 H,448,FINISHER,71164,1000.0,25.0,788.0,2024-10-18T01:09:53.000+04:00,64,71164,https://utmb.world/runner/5685591.sonny.ahhing
2024,3010,Frédéric PERON,MALE,SE H,0,WITHDRAWN,70707,1371.0,411.0,1029.0,2024-10-18T01:09:53.000+04:00,52,70707,
2024,3011,Pierre LEFÈVRE,MALE,SE H,464,FINISHER,59617,589.0,246.0,504.0,2024-10-18T00:59:52.000+04:00,64,59617,https://utmb.world/runner/5884062.pierre.lefevre
2024,3012,Linda LECACHEUR,FEMALE,M2 F,400,FINISHER,67210,847.0,10.0,156.0,2024-10-18T01:09:53.000+04:00,64,67210,https://utmb.world/runner/5012893.linda.lecacheur
2024,3013,Laurent GALANT-PAINEAU,MALE,M0 H,0,FINISHER,62566,688.0,108.0,573.0,2024-10-18T00:59:52.000+04:00,64,62566,https://utmb.world/runner/4552364.laurent.galantpaineau
2024,3014,Jimmy LEBON,MALE,M3 H,442,FINISHER,73488,1080.0,70.0,839.0,2024-10-18T00:59:52.000+04:00,64,73488,https://utmb.world/runner/3847747.jimmy.lebon
2024,3015,Bertrand FOUCHER,MALE,M2 H,438,FINISHER,58647,560.0,36.0,481.0,2024-10-18T00:59:52.000+04:00,64,58647,https://utmb.world/runner/5340650.bertrand.foucher
2024,3016,Valentin RUZIC,MALE,SE H,0,FINISHER,46226,140.0,68.0,124.0,2024-10-18T01:09:53.000+04:00,64,46226,
2024,3017,Léo MOUGENET,MALE,SE H,380,FINISHER,70636,976.0,332.0,775.0,2024-10-18T01:09:53.000+04:00,64,70636,https://utmb.world/runner/5584174.leo.mougenet
2024,3018,David PASTOL,MALE,M2 H,0,WITHDRAWN,19133,1441.0,91.0,1088.0,2024-10-18T01:09:53.000+04:00,38,19133,https://utmb.world/runner/3232151.david.pastol
2024,3019,Thibault GUILLOUX,MALE,SE H,684,FINISHER,41641,55.0,28.0,52.0,2024-10-18T01:09:53.000+04:00,64,41641,https://utmb.world/runner/5769880.thibault.guilloux
2024,3020,Cedric GEOFFROY,MALE,M3 H,403,FINISHER,67209,846.0,46.0,691.0,2024-10-18T01:09:53.000+04:00,64,67209,https://utmb.world/runner/5012775.cedric.geoffroy
