year,bib,name,sex,category,utmb_index,status,raceTime,rank_scratch,rank_cat,rank_sex,startDate,lastPassage_pointId,lastPassage_time,runnerUrl
2025,1,Philippe CUVELIER,MALE,M2 H,473,FINISHER,172665,810,91,748,2025-10-16T22:00:00.000+04:00,64,172665,https://utmb.world/runner/4509890.philippe.cuvelier
2025,10,Henri FLOUCAUD,MALE,SE H,581,FINISHER,120620,54,19,51,2025-10-16T22:00:00.000+04:00,64,120620,https://utmb.world/runner/946869.henri.floucaud
2025,100,Romain LEBLANC,MALE,M0 H,691,FINISHER,134843,147,41,136,2025-10-16T22:00:00.000+04:00,64,134843,https://utmb.world/runner/2031523.romain.leblanc
2025,1000,Emmanuel ROBINO,MALE,SE H,411,WITHDRAWN,85898,2319,445,2026,2025-10-16T22:00:00.000+04:00,32,85898,https://utmb.world/runner/725421.emmanuel.robino
2025,1001,Claire ABRAHAM,FEMALE,M2 F,338,WITHDRAWN,301459,2311,57,293,2025-10-16T22:00:00.000+04:00,36,301459,https://utmb.world/runner/3870725.claire.abraham
2025,1002,Arnaud BOUYAT,MALE,M2 H,436,FINISHER,223912,1848,242,1640,2025-10-16T22:00:00.000+04:00,64,223912,https://utmb.world/runner/417463.arnaud.bouyat
2025,1003,Jérôme VANDERSCHAEGHE,MALE,M0 H,828,FINISHER,92150,5,2,5,2025-10-16T22:00:00.000+04:00,64,92150,https://utmb.world/runner/655355.jerome.vanderschaeghe
2025,1004,Bertrand PLANTIN,MALE,M2 H,408,FINISHER,216990,1649,216,1474,2025-10-16T22:00:00.000+04:00,64,216990,https://utmb.world/runner/38010.bertrand.plantin
2025,1005,Jean-Luc ALMEIDA,MALE,M5 H,480,FINISHER,202607,1366,19,1234,2025-10-16T22:00:00.000+04:00,64,202607,https://utmb.world/runner/4185231.jeanluc.almeida
2025,1006,Pierre-Yves LE ROUX,MALE,M1 H,588,FINISHER,140199,208,36,194,2025-10-16T22:00:00.000+04:00,64,140199,https://utmb.world/runner/882931.pierreyves.leroux
2025,1007,Jordan CADIGNAN,MALE,SE H,487,FINISHER,176670,902,240,827,2025-10-16T22:00:00.000+04:00,64,176670,https://utmb.world/runner/5920652.jordan.cadignan
2025,1008,Jean-Marie PUREN,MALE,M1 H,0,FINISHER,175061,870,178,801,2025-10-16T22:00:00.000+04:00,64,175061,https://utmb.world/runner/210377.jeanmarie.puren
2025,1009,Romain BARON,MALE,M1 H,519,FINISHER,188841,1119,218,1024,2025-10-16T22:00:00.000+04:00,64,188841,https://utmb.world/runner/1041423.romain.baron
2025,101,Arnaud VENCHIARUTTI,MALE,M3 H,580,WITHDRAWN,50113,2440,297,2124,2025-10-16T22:00:00.000+04:00,19,50113,https://utmb.world/runner/369637.arnaud.venchiarutti
2025,1010,Georges DELAITRE,MALE,M4 H,446,FINISHER,182805,1026,33,939,2025-10-16T22:00:00.000+04:00,64,182805,https://utmb.world/runner/984113.georges.delaitre
2025,1011,Harry SOUCRAMANIEN,MALE,M3 H,348,FINISHER,224589,1860,225,1651,2025-10-16T22:00:00.000+04:00,64,224589,https://utmb.world/runner/3560379.harry.soucramanien
2025,1012,Ludovic DARDAILLON,MALE,M1 H,417,FINISHER,209734,1500,285,1345,2025-10-16T22:00:00.000+04:00,64,209734,https://utmb.world/runner/1694849.ludovic.dardaillon
2025,1013,Pierre DHORME,MALE,M0 H,544,FINISHER,130065,109,33,102,2025-10-16T22:00:00.000+04:00,64,130065,https://utmb.world/runner/920745.pierre.dhorme
2025,1014,Alexis MONTEBRUN,MALE,SE H,411,FINISHER,181603,1014,259,928,2025-10-16T22:00:00.000+04:00,64,181603,https://utmb.world/runner/5628246.alexis.montebrun
2025,1015,Aly ISMAEL,MALE,M3 H,374,WITHDRAWN,84021,2395,290,2092,2025-10-16T22:00:00.000+04:00,30,84021,https://utmb.world/runner/43669.aly.ismael
2025,1016,Jérémy ABNER,MALE,SE H,383,FINISHER,189596,1129,271,1033,2025-10-16T22:00:00.000+04:00,64,189596,https://utmb.world/runner/4289387.jeremy.abner
2025,1017,Jean Fabrice Urbain BARRET,MALE,M4 H,440,FINISHER,188033,1101,42,1007,2025-10-16T22:00:00.000+04:00,64,188033,https://utmb.world/runner/1721159.jeanfabriceurbain.barret
2025,1018,Alexis DE POMMEROL,MALE,M4 H,431,WITHDRAWN,302700,2482,162,2159,2025-10-16T22:00:00.000+04:00,19,302700,https://utmb.world/runner/127509.alexis.depommerol
2025,1019,Wilson MANGUY,MALE,M1 H,366,FINISHER,219764,1715,328,1526,2025-10-16T22:00:00.000+04:00,64,219764,https://utmb.world/runner/5758824.wilson.manguy
2025,102,Aurélien THOMAS,MALE,M1 H,476,FINISHER,188844,1120,219,1025,2025-10-16T22:00:00.000+04:00,64,188844,https://utmb.world/runner/116882.aurelien.thomas
2025,1020,Sabine RANGGEH,FEMALE,M1 F,356,WITHDRAWN,117574,2301,57,290,2025-10-16T22:00:00.000+04:00,36,117574,https://utmb.world/runner/5627598.sabine.ranggeh
2025,1021,Stephanie MADANI,FEMALE,M3 F,338,OUT_OF_TIME,166268,2186,38,270,2025-10-16T22:00:00.000+04:00,45,166268,https://utmb.world/runner/554216.stephanie.madani
2025,1022,Mickaël CHAMAND,MALE,M2 H,657,WITHDRAWN,44422,2576,345,2241,2025-10-16T22:00:00.000+04:00,17,44422,https://utmb.world/runner/102718.mickael.chamand
2025,1023,Paul MARTIN,MALE,SE H,494,WITHDRAWN,25879,2704,479,2351,2025-10-16T22:00:00.000+04:00,10,25879,https://utmb.world/runner/4269099.paul.martin
2025,1024,Guenrikh REMOND,MALE,M0 H,500,FINISHER,162742,556,128,515,2025-10-16T22:00:00.000+04:00,64,162742,https://utmb.world/runner/3977385.guenrikh.remond
2025,1025,Lucas THIRY,MALE,M0 H,433,FINISHER,193003,1184,229,1080,2025-10-16T22:00:00.000+04:00,64,193003,https://utmb.world/runner/4704406.lucas.thiry
2025,1026,Marie-Lourdes GINON-MANGUÉ,FEMALE,M3 F,0,WITHDRAWN,163667,2178,37,266,2025-10-16T22:00:00.000+04:00,45,163667,https://utmb.world/runner/6647064.marielourdes.ginonmangue
2025,1027,Stephane LESPINAS,MALE,M4 H,383,FINISHER,234740,2050,125,1806,2025-10-16T22:00:00.000+04:00,64,234740,https://utmb.world/runner/572120.stephane.lespinas
2025,1028,Loïc DUFOREST,MALE,M1 H,551,FINISHER,172648,806,168,744,2025-10-16T22:00:00.000+04:00,64,172648,https://utmb.world/runner/703779.loic.duforest
2025,1029,Pierre POPO,MALE,M1 H,576,WITHDRAWN,128928,2097,391,1844,2025-10-16T22:00:00.000+04:00,49,128928,https://utmb.world/runner/4858704.pierre.popo
2025,103,Gildas AUBRY,MALE,M2 H,490,FINISHER,177912,924,111,847,2025-10-16T22:00:00.000+04:00,64,177912,https://utmb.world/runner/658687.gildas.aubry
2025,1030,Nicolas PINEAU,MALE,SE H,528,WITHDRAWN,55952,2580,468,2244,2025-10-16T22:00:00.000+04:00,17,55952,https://utmb.world/runner/3153501.nicolas.pineau
2025,1031,Nicolas MORENO,MALE,M2 H,0,FINISHER,222369,1785,233,1589,2025-10-16T22:00:00.000+04:00,64,222369,https://utmb.world/runner/4130357.nicolas.moreno
2025,1032,Jean-Charles NICOLAS,MALE,M3 H,393,FINISHER,227933,1939,235,1716,2025-10-16T22:00:00.000+04:00,64,227933,https://utmb.world/runner/5046398.jeancharles.nicolas
2025,1033,Véronique GEYER,FEMALE,M3 F,373,WITHDRAWN,302936,2556,50,333,2025-10-16T22:00:00.000+04:00,19,302936,https://utmb.world/runner/3870655.veronique.geyer
2025,1034,Vincent OUISSE,MALE,M1 H,537,FINISHER,202534,1361,257,1230,2025-10-16T22:00:00.000+04:00,64,202534,https://utmb.world/runner/3918727.vincent.ouisse
2025,1035,Georges GOUTAGNY,MALE,M5 H,534,FINISHER,183191,1029,8,942,2025-10-16T22:00:00.000+04:00,64,183191,https://utmb.world/runner/6644.georges.goutagny
2025,1036,Benoist JOUHANNET,MALE,M1 H,440,WITHDRAWN,184428,2091,390,1838,2025-10-16T22:00:00.000+04:00,52,184428,https://utmb.world/runner/842263.benoist.jouhannet
2025,1037,Joel THOMAS,MALE,M3 H,518,WITHDRAWN,108923,2210,265,1938,2025-10-16T22:00:00.000+04:00,43,108923,https://utmb.world/runner/1348241.joel.thomas
2025,1038,Sébastien AESCHLIMANN,MALE,SE H,722,FINISHER,141072,225,85,210,2025-10-16T22:00:00.000+04:00,64,141072,https://utmb.world/runner/1939301.sebastien.aeschlimann
2025,1039,Antoine KOBEL,MALE,M0 H,461,FINISHER,200443,1316,243,1191,2025-10-16T22:00:00.000+04:00,64,200443,https://utmb.world/runner/4352470.antoine.kobel
2025,104,Bruno MORON,MALE,M3 H,449,FINISHER,217855,1663,190,1484,2025-10-16T22:00:00.000+04:00,64,217855,https://utmb.world/runner/2399473.bruno.moron
2025,1040,Simon HEURTEBISE,MALE,SE H,621,FINISHER,137326,176,60,164,2025-10-16T22:00:00.000+04:00,64,137326,https://utmb.world/runner/5739722.simon.heurtebise
2025,1041,Jean-Mickael LAURET,MALE,M1 H,669,FINISHER,127121,91,17,85,2025-10-16T22:00:00.000+04:00,64,127121,https://utmb.world/runner/151932.jeanmickael.lauret
2025,1042,Anthony BUISSON,MALE,M1 H,407,FINISHER,226165,1895,362,1678,2025-10-16T22:00:00.000+04:00,64,226165,https://utmb.world/runner/356049.anthony.buisson
2025,1043,Kerrianne ROGERS,FEMALE,SE F,522,FINISHER,204315,1401,38,138,2025-10-16T22:00:00.000+04:00,64,204315,https://utmb.world/runner/2585747.kerrianne.rogers
2025,1044,Patricia ABAD LAMAS,FEMALE,M5 F,450,FINISHER,229663,1976,4,230,2025-10-16T22:00:00.000+04:00,64,229663,https://utmb.world/runner/1394515.patricia.abadlamas
2025,1045,Simon DROUET,MALE,M0 H,475,FINISHER,139848,203,54,189,2025-10-16T22:00:00.000+04:00,64,139848,https://utmb.world/runner/5644854.simon.drouet
2025,1046,Jacqueline ROQUE,FEMALE,M4 F,0,OUT_OF_TIME,165353,2183,14,268,2025-10-16T22:00:00.000+04:00,45,165353,https://utmb.world/runner/1177651.jacqueline.roque
2025,1047,Christophe CUIRET,MALE,M3 H,431,WITHDRAWN,109947,2258,270,1977,2025-10-16T22:00:00.000+04:00,38,109947,https://utmb.world/runner/5666202.christophe.cuiret
2025,1048,Jean Christophe BAUDY,MALE,M3 H,554,WITHDRAWN,118249,2261,271,1980,2025-10-16T22:00:00.000+04:00,38,118249,https://utmb.world/runner/102625.jeanchristophe.baudy
2025,1049,Anne-Marie DERANSART,FEMALE,M2 F,423,FINISHER,235258,2054,49,247,2025-10-16T22:00:00.000+04:00,64,235258,https://utmb.world/runner/4402494.annemarie.deransart
2025,105,Patrick SIEFER,MALE,M3 H,432,WITHDRAWN,69931,2597,320,2260,2025-10-16T22:00:00.000+04:00,17,69931,https://utmb.world/runner/3405641.patrick.siefer
2025,1050,Florian HENNEQUIN,MALE,M0 H,518,FINISHER,166515,654,147,607,2025-10-16T22:00:00.000+04:00,64,166515,https://utmb.world/runner/2656627.florian.hennequin
2025,1051,Tanguy LESUEUR,MALE,M0 H,585,FINISHER,201528,1338,244,1209,2025-10-16T22:00:00.000+04:00,64,201528,https://utmb.world/runner/470109.tanguy.lesueur
2025,1052,Charles Romain SINAMA,MALE,M0 H,0,FINISHER,208010,1460,260,1313,2025-10-16T22:00:00.000+04:00,64,208010,https://utmb.world/runner/6647082.charlesromain.sinama
2025,1053,Médéric BONNET,MALE,SE H,641,WITHDRAWN,54460,2338,447,2042,2025-10-16T22:00:00.000+04:00,30,54460,https://utmb.world/runner/1276963.mederic.bonnet
2025,1054,Sylvain NICOLLET,MALE,SE H,505,FINISHER,179167,959,249,879,2025-10-16T22:00:00.000+04:00,64,179167,https://utmb.world/runner/5627482.sylvain.nicollet
2025,1055,Sylvain SABATHE,MALE,SE H,0,FINISHER,170694,748,212,693,2025-10-16T22:00:00.000+04:00,64,170694,https://utmb.world/runner/5575868.sylvain.sabathe
2025,1056,Arnaud MESGOUEZ,MALE,M3 H,430,FINISHER,205472,1413,152,1274,2025-10-16T22:00:00.000+04:00,64,205472,https://utmb.world/runner/359059.arnaud.mesgouez
2025,1057,Christophe MEY,MALE,M3 H,562,FINISHER,174283,846,71,780,2025-10-16T22:00:00.000+04:00,64,174283,https://utmb.world/runner/4844004.christophe.mey
2025,1058,Anne-Sophie CREVOISIER,FEMALE,SE F,594,FINISHER,163610,587,14,42,2025-10-16T22:00:00.000+04:00,64,163610,https://utmb.world/runner/3062451.annesophie.crevoisier
2025,1059,Jordan FINS,MALE,SE H,576,FINISHER,170340,742,209,687,2025-10-16T22:00:00.000+04:00,64,170340,https://utmb.world/runner/2644627.jordan.fins
2025,106,Anthony TOURNIER,MALE,M0 H,538,FINISHER,198706,1288,240,1172,2025-10-16T22:00:00.000+04:00,64,198706,https://utmb.world/runner/5403128.anthony.tournier
2025,1060,Etienne HERPIN,MALE,SE H,507,FINISHER,175229,877,236,808,2025-10-16T22:00:00.000+04:00,64,175229,https://utmb.world/runner/6842876.etienne.herpin
2025,1061,Charles BAGAGE,MALE,M2 H,419,FINISHER,198507,1285,168,1169,2025-10-16T22:00:00.000+04:00,64,198507,https://utmb.world/runner/836.charles.bagage
2025,1062,Benoit FLECK,MALE,SE H,646,FINISHER,153071,388,124,360,2025-10-16T22:00:00.000+04:00,64,153071,https://utmb.world/runner/4901354.benoit.fleck
2025,1063,Loïc BIDAUD,MALE,M0 H,545,FINISHER,142812,249,65,231,2025-10-16T22:00:00.000+04:00,64,142812,https://utmb.world/runner/2289607.loic.bidaud
2025,1064,Mathias DUPRAT,MALE,M2 H,0,FINISHER,230258,1991,270,1759,2025-10-16T22:00:00.000+04:00,64,230258,https://utmb.world/runner/5758958.mathias.duprat
2025,1065,Guillaume GRUN,MALE,M1 H,435,FINISHER,218853,1686,318,1503,2025-10-16T22:00:00.000+04:00,64,218853,https://utmb.world/runner/1382923.guillaume.grun
2025,1066,Mathilde PICHON,FEMALE,SE F,392,FINISHER,230488,1995,52,234,2025-10-16T22:00:00.000+04:00,64,230488,https://utmb.world/runner/6064294.mathilde.pichon
2025,1067,Aurélien WATARE,MALE,M0 H,620,FINISHER,152727,380,98,354,2025-10-16T22:00:00.000+04:00,64,152727,https://utmb.world/runner/1034499.aurelien.watare
2025,1068,Anne-Charlotte HENRY,FEMALE,M0 F,323,WITHDRAWN,29148,2709,58,354,2025-10-16T22:00:00.000+04:00,10,29148,https://utmb.world/runner/5628508.annecharlotte.henry
2025,1069,Angie Chi Yee YAN,FEMALE,SE F,641,FINISHER,164071,595,15,43,2025-10-16T22:00:00.000+04:00,64,164071,https://utmb.world/runner/4103819.angie.yan
2025,107,Sylvain HERAUD,MALE,M1 H,689,FINISHER,190112,1139,220,1042,2025-10-16T22:00:00.000+04:00,64,190112,https://utmb.world/runner/557224.sylvain.heraud
2025,1070,Julie RIVIERE,FEMALE,M1 F,399,FINISHER,217054,1653,33,177,2025-10-16T22:00:00.000+04:00,64,217054,https://utmb.world/runner/5628098.julie.riviere
2025,1071,Nicolas SERVERO,MALE,M0 H,537,WITHDRAWN,21295,2695,381,2342,2025-10-16T22:00:00.000+04:00,10,21295,https://utmb.world/runner/6584458.nicolas.servero
2025,1072,Jean François BISOGNO,MALE,M4 H,471,FINISHER,222811,1799,102,1599,2025-10-16T22:00:00.000+04:00,64,222811,https://utmb.world/runner/7842.jeanfrancois.bisogno
2025,1073,Vincent BISOGNO,MALE,SE H,471,FINISHER,222817,1800,355,1600,2025-10-16T22:00:00.000+04:00,64,222817,https://utmb.world/runner/4291522.vincent.bisogno
2025,1074,Yasmine KASDALI,FEMALE,M4 F,386,WITHDRAWN,179059,2123,13,257,2025-10-16T22:00:00.000+04:00,49,179059,https://utmb.world/runner/1325789.yasmine.kasdali
2025,1075,Yoann OUISSE,MALE,M2 H,492,FINISHER,202535,1362,177,1231,2025-10-16T22:00:00.000+04:00,64,202535,https://utmb.world/runner/148201.yoann.ouisse
2025,1076,Nicolas ADRIASOLA GUERRERO,MALE,M1 H,507,FINISHER,144616,269,54,251,2025-10-16T22:00:00.000+04:00,64,144616,https://utmb.world/runner/872935.nicolasbenjamin.adriasolaguerrero
2025,1077,Tony FORTIN,MALE,M3 H,478,FINISHER,172685,811,66,749,2025-10-16T22:00:00.000+04:00,64,172685,https://utmb.world/runner/37785.tony.fortin
2025,1079,Patrice GRELIER,MALE,M3 H,481,FINISHER,163653,589,40,547,2025-10-16T22:00:00.000+04:00,64,163653,https://utmb.world/runner/1175465.patrice.grelier
2025,108,Thomas SOUBEYRAND,MALE,M0 H,629,FINISHER,126852,89,29,83,2025-10-16T22:00:00.000+04:00,64,126852,https://utmb.world/runner/557375.thomas.soubeyrand
2025,1080,Samuel Hugo FONTAINE,MALE,M3 H,0,WITHDRAWN,9461,2726,337,2368,2025-10-16T22:00:00.000+04:00,2,9461,https://utmb.world/runner/23744.samuelhugo.fontaine
2025,1081,Dorothée BOUGOUIN,FEMALE,M1 F,488,FINISHER,215076,1607,32,170,2025-10-16T22:00:00.000+04:00,64,215076,https://utmb.world/runner/3227207.dorothee.bougouin
2025,1082,Matthieu GARNIER,MALE,M0 H,597,WITHDRAWN,95089,2138,328,1879,2025-10-16T22:00:00.000+04:00,45,95089,https://utmb.world/runner/949977.matthieu.garnier
2025,1083,Roan AUBIN,MALE,M0 H,501,FINISHER,209547,1498,263,1344,2025-10-16T22:00:00.000+04:00,64,209547,https://utmb.world/runner/6647176.roan.aubin
2025,1084,Fred TIREL,MALE,M2 H,530,FINISHER,156475,433,32,401,2025-10-16T22:00:00.000+04:00,64,156475,https://utmb.world/runner/5526866.fred.tirel
2025,1085,Julien SARTHOU,MALE,M1 H,564,FINISHER,159700,498,107,461,2025-10-16T22:00:00.000+04:00,64,159700,https://utmb.world/runner/246077.julien.sarthou
2025,1086,Eddy BERRICHON,MALE,M1 H,552,FINISHER,168393,693,145,642,2025-10-16T22:00:00.000+04:00,64,168393,https://utmb.world/runner/314202.eddy.berrichon
2025,1087,Matthias RAMSAMY,MALE,SE H,365,WITHDRAWN,6924,2723,481,2366,2025-10-16T22:00:00.000+04:00,2,6924,https://utmb.world/runner/4268911.matthias.ramsamy
2025,1088,Theo CAPITAINE,MALE,SE H,525,FINISHER,155135,421,132,392,2025-10-16T22:00:00.000+04:00,64,155135,https://utmb.world/runner/7556536.theo.capitaine
2025,1089,Mickaël HUBERT,MALE,M0 H,461,FINISHER,212432,1545,269,1384,2025-10-16T22:00:00.000+04:00,64,212432,https://utmb.world/runner/4902186.mickael.hubert
2025,109,Jean - Luc DEJOB,MALE,M5 H,491,FINISHER,166069,640,3,594,2025-10-16T22:00:00.000+04:00,64,166069,https://utmb.world/runner/1802975.jeanluc.dejob
2025,1090,Romain WEISS,MALE,M1 H,572,FINISHER,197350,1264,242,1149,2025-10-16T22:00:00.000+04:00,64,197350,https://utmb.world/runner/4462750.romain.weiss
2025,1091,Jeremy DELAPLACE,MALE,M1 H,0,FINISHER,201313,1335,253,1207,2025-10-16T22:00:00.000+04:00,64,201313,
2025,1092,Philippe RAYMOND,MALE,M4 H,383,WITHDRAWN,75349,2469,160,2149,2025-10-16T22:00:00.000+04:00,19,75349,https://utmb.world/runner/4209953.philippe.raymond
2025,1093,Philippe CELLE,MALE,M2 H,620,FINISHER,144614,268,17,250,2025-10-16T22:00:00.000+04:00,64,144614,https://utmb.world/runner/4008213.philippe.celle
2025,1094,Nicolas SIMON,MALE,M0 H,624,FINISHER,144118,264,71,246,2025-10-16T22:00:00.000+04:00,64,144118,https://utmb.world/runner/1486681.nicolas.simon
2025,1095,Christophe FAVRE,MALE,M2 H,591,FINISHER,138821,188,13,175,2025-10-16T22:00:00.000+04:00,64,138821,https://utmb.world/runner/2174749.christophe.favre
2025,1096,Michael TEINTURIER,MALE,M0 H,583,FINISHER,168052,680,152,629,2025-10-16T22:00:00.000+04:00,64,168052,https://utmb.world/runner/4423754.michael.teinturier
2025,1097,Mathieu RAUX,MALE,M1 H,578,FINISHER,174658,857,175,790,2025-10-16T22:00:00.000+04:00,64,174658,https://utmb.world/runner/138858.mathieu.raux
2025,1098,Christophe GALLEMAND,MALE,M3 H,499,FINISHER,221395,1765,206,1570,2025-10-16T22:00:00.000+04:00,64,221395,https://utmb.world/runner/127945.christophe.gallemand
2025,1099,Josué MAILLEFER,MALE,M2 H,441,FINISHER,193755,1195,158,1090,2025-10-16T22:00:00.000+04:00,64,193755,https://utmb.world/runner/480804.josue.maillefer
2025,11,David AGNELOT,MALE,M3 H,504,FINISHER,193668,1193,126,1088,2025-10-16T22:00:00.000+04:00,64,193668,https://utmb.world/runner/269888.david.agnelot
2025,110,Arnaud MAUBEC,MALE,M1 H,543,FINISHER,190896,1158,222,1057,2025-10-16T22:00:00.000+04:00,64,190896,https://utmb.world/runner/864393.arnaud.maubec
2025,1100,Oderic BOYER,MALE,M3 H,325,WITHDRAWN,68965,2595,319,2258,2025-10-16T22:00:00.000+04:00,17,68965,https://utmb.world/runner/657706.oderic.boyer
2025,1101,Nicolas LIONEL,MALE,M2 H,470,FINISHER,171986,794,87,734,2025-10-16T22:00:00.000+04:00,64,171986,https://utmb.world/runner/103607.nicolas.lionel
2025,1102,Arthur PREVOST,MALE,SE H,605,FINISHER,139317,196,70,182,2025-10-16T22:00:00.000+04:00,64,139317,https://utmb.world/runner/5042246.arthur.prevost
2025,1103,Gilles PERRIER,MALE,M4 H,460,FINISHER,220501,1737,95,1546,2025-10-16T22:00:00.000+04:00,64,220501,https://utmb.world/runner/1548013.gilles.perrier
2025,1104,Gilles ZILLIOX,MALE,M2 H,544,FINISHER,169269,715,76,663,2025-10-16T22:00:00.000+04:00,64,169269,https://utmb.world/runner/4382214.gilles.zilliox
2025,1105,Saida ULPAT,FEMALE,M3 F,409,WITHDRAWN,93088,2321,41,294,2025-10-16T22:00:00.000+04:00,32,93088,https://utmb.world/runner/3834171.saida.ulpat
2025,1106,Mickael MORGADO,MALE,M0 H,534,FINISHER,198468,1281,238,1166,2025-10-16T22:00:00.000+04:00,64,198468,https://utmb.world/runner/4850349.mickael.morgado
2025,1107,Eric GUILLET,MALE,M5 H,492,FINISHER,221099,1755,32,1562,2025-10-16T22:00:00.000+04:00,64,221099,https://utmb.world/runner/5369984.eric.guillet
2025,1108,Hugo DOMINGUEZ,MALE,SE H,524,FINISHER,170519,745,211,690,2025-10-16T22:00:00.000+04:00,64,170519,https://utmb.world/runner/5659167.hugo.dominguez
2025,1109,Jules-Emile GUILLON,MALE,SE H,509,FINISHER,159098,490,150,453,2025-10-16T22:00:00.000+04:00,64,159098,https://utmb.world/runner/4956274.julesemile.guillon
2025,111,Loïc LE BIHAN,MALE,M4 H,504,WITHDRAWN,194658,2075,128,1825,2025-10-16T22:00:00.000+04:00,54,194658,https://utmb.world/runner/1278207.loic.lebihan
2025,1110,Nicolas MENTION,MALE,M2 H,542,FINISHER,188987,1122,147,1027,2025-10-16T22:00:00.000+04:00,64,188987,https://utmb.world/runner/4220800.nicolas.mention
2025,1111,Cedric POUPPEVILLE,MALE,M1 H,454,FINISHER,167731,674,142,623,2025-10-16T22:00:00.000+04:00,64,167731,https://utmb.world/runner/1721569.cedric.pouppeville
2025,1112,Sully CHAMAND,MALE,M2 H,491,FINISHER,169739,731,79,678,2025-10-16T22:00:00.000+04:00,64,169739,https://utmb.world/runner/282816.sully.chamand
