bib,name,status,category,sex,country,St Paul,Ecole  Bel,Ilet Savan,Ratinaud,Possession,Chaloupe,Colorado,La Vigie,St Denis
7454,Brian FRANÇOIS FILS,FINISHER,SE H,MALE,MU,2025-10-18T06:38:00.000+04:00,2025-10-18T07:10:29.000+04:00,2025-10-18T07:51:24.000+04:00,2025-10-18T08:44:53.000+04:00,2025-10-18T09:40:45.000+04:00,2025-10-18T10:40:08.000+04:00,2025-10-18T12:05:31.000+04:00,2025-10-18T12:26:52.000+04:00,2025-10-18T12:44:51.000+04:00
7613,Joseph Jean Damien RAVINA,FINISHER,SE H,MALE,MU,2025-10-18T06:38:00.000+04:00,2025-10-18T07:13:00.000+04:00,2025-10-18T07:58:32.000+04:00,2025-10-18T08:56:59.000+04:00,2025-10-18T09:53:36.000+04:00,2025-10-18T10:49:10.000+04:00,2025-10-18T12:06:49.000+04:00,2025-10-18T12:29:30.000+04:00,2025-10-18T12:46:56.000+04:00
7032,Yoann MARTIN,FINISHER,M0 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:12:00.000+04:00,2025-10-18T07:57:37.000+04:00,2025-10-18T08:56:58.000+04:00,2025-10-18T09:54:42.000+04:00,2025-10-18T10:50:38.000+04:00,2025-10-18T12:13:30.000+04:00,2025-10-18T12:34:25.000+04:00,2025-10-18T12:52:14.000+04:00
7479,Leo SERCA,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:10:29.000+04:00,2025-10-18T07:51:23.000+04:00,2025-10-18T08:48:53.000+04:00,2025-10-18T09:48:48.000+04:00,2025-10-18T10:47:01.000+04:00,2025-10-18T12:13:29.000+04:00,2025-10-18T12:34:26.000+04:00,2025-10-18T12:54:44.000+04:00
7503,Christopher CAMACHETTY,FINISHER,M0 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:14:22.000+04:00,2025-10-18T08:00:18.000+04:00,2025-10-18T09:01:31.000+04:00,2025-10-18T10:01:53.000+04:00,2025-10-18T11:02:00.000+04:00,2025-10-18T12:31:05.000+04:00,2025-10-18T12:53:50.000+04:00,2025-10-18T13:11:42.000+04:00
7519,Julien HOAREAU,FINISHER,M0 H,MALE,RE,2025-10-18T06:38:00.000+04:00,2025-10-18T07:12:12.000+04:00,2025-10-18T07:57:39.000+04:00,2025-10-18T08:57:22.000+04:00,2025-10-18T09:57:48.000+04:00,2025-10-18T10:57:52.000+04:00,2025-10-18T12:24:17.000+04:00,2025-10-18T12:53:52.000+04:00,2025-10-18T13:15:18.000+04:00
7201,Yannick IMBROSCIANO,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:11:36.000+04:00,2025-10-18T07:55:45.000+04:00,2025-10-18T08:55:51.000+04:00,2025-10-18T10:05:32.000+04:00,2025-10-18T11:03:32.000+04:00,2025-10-18T12:36:32.000+04:00,2025-10-18T13:04:45.000+04:00,2025-10-18T13:29:20.000+04:00
7586,Jean Patrice PAYET,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:12:47.000+04:00,2025-10-18T07:58:40.000+04:00,2025-10-18T08:58:39.000+04:00,2025-10-18T10:01:22.000+04:00,2025-10-18T11:06:22.000+04:00,2025-10-18T12:53:09.000+04:00,2025-10-18T13:16:52.000+04:00,2025-10-18T13:36:40.000+04:00
7355,Thibaud GERLACH,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:16:53.000+04:00,2025-10-18T08:05:17.000+04:00,2025-10-18T09:13:13.000+04:00,2025-10-18T10:18:17.000+04:00,2025-10-18T11:23:18.000+04:00,2025-10-18T12:52:05.000+04:00,2025-10-18T13:15:30.000+04:00,2025-10-18T13:38:37.000+04:00
7241,Christophe GARSANY,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:14:40.000+04:00,2025-10-18T08:01:32.000+04:00,2025-10-18T09:04:54.000+04:00,2025-10-18T10:13:34.000+04:00,2025-10-18T11:16:11.000+04:00,2025-10-18T12:52:53.000+04:00,2025-10-18T13:20:41.000+04:00,2025-10-18T13:44:28.000+04:00
