year,bib,name,sex,category,utmb_index,status,raceTime,rank_scratch,rank_cat,rank_sex,startDate,lastPassage_pointId,lastPassage_time,runnerUrl
2025,5001,Jerome IMAZOUTE,MALE,M2 H,431,FINISHER,110513,627,61,528,2025-10-17T21:10:09.000+04:00,64,110513,https://utmb.world/runner/4509792.jerome.imazoute
2025,5003,Laurent SEMPE,MALE,M0 H,421,FINISHER,100853,480,75,410,2025-10-17T21:10:09.000+04:00,64,100853,https://utmb.world/runner/6364610.laurent.sempe
2025,5004,Patrick CALONNE,MALE,M3 H,453,WITHDRAWN,51670,1133,98,896,2025-10-17T21:00:08.000+04:00,45,51670,https://utmb.world/runner/1312297.patrick.calonne
2025,5005,Kris DAUBIN,MALE,M2 H,319,WITHDRAWN,78233,1088,110,861,2025-10-17T21:10:09.000+04:00,49,78233,https://utmb.world/runner/5628658.kris.daubin
2025,5006,Sylviane DIJOUX,FEMALE,M1 F,321,FINISHER,136396,941,37,184,2025-10-17T21:10:09.000+04:00,64,136396,https://utmb.world/runner/6647628.sylviane.dijoux
2025,5007,David MOUTIAPOULLE,MALE,SE H,0,FINISHER,131759,895,240,725,2025-10-17T21:10:09.000+04:00,64,131759,
2025,5008,Jean-Louis DELPONT,MALE,M7 H,381,FINISHER,123795,785,3,643,2025-10-17T21:10:09.000+04:00,64,123795,https://utmb.world/runner/1618847.jeanlouis.delpont
2025,5009,Maurice BLAS,MALE,M5 H,377,FINISHER,130247,880,24,718,2025-10-17T21:10:09.000+04:00,64,130247,https://utmb.world/runner/5035308.maurice.blas
2025,5010,Robin GOUGON,MALE,M0 H,491,FINISHER,86881,267,45,231,2025-10-17T21:00:08.000+04:00,64,86881,https://utmb.world/runner/5628120.robin.gougon
2025,5011,Romain BARDEUR,MALE,SE H,699,FINISHER,63972,35,22,33,2025-10-17T21:00:08.000+04:00,64,63972,https://utmb.world/runner/4798314.romain.bardeur
2025,5012,Romain GRAND,MALE,M0 H,0,FINISHER,104446,529,82,449,2025-10-17T21:10:09.000+04:00,64,104446,https://utmb.world/runner/1721429.romain.grand
2025,5014,Juliette VERHILLE,FEMALE,M0 F,386,FINISHER,125512,806,25,150,2025-10-17T21:10:09.000+04:00,64,125512,https://utmb.world/runner/5628608.juliette.verhille
2025,5015,Anthony MUSSARD,MALE,SE H,508,FINISHER,76154,116,54,105,2025-10-17T21:00:08.000+04:00,64,76154,https://utmb.world/runner/5055734.anthony.mussard
2025,5016,Rémi DENYS,MALE,M0 H,0,FINISHER,136672,949,130,764,2025-10-17T21:10:09.000+04:00,64,136672,
2025,5017,Alban ARNOUX,MALE,M3 H,475,FINISHER,100384,470,34,401,2025-10-17T21:00:08.000+04:00,64,100384,https://utmb.world/runner/2699379.alban.arnoux
2025,5018,Michel FONTAINE,MALE,M7 H,299,FINISHER,138980,965,7,772,2025-10-17T21:10:09.000+04:00,64,138980,https://utmb.world/runner/152011.michel.fontaine
2025,5019,Thierry POTHIN,MALE,M2 H,334,WITHDRAWN,30902,1206,119,953,2025-10-17T21:10:09.000+04:00,39,30902,https://utmb.world/runner/5758856.thierry.pothin
2025,5020,Elisabeth ADRIAENS,FEMALE,SE F,418,FINISHER,88202,285,21,38,2025-10-17T21:10:09.000+04:00,64,88202,https://utmb.world/runner/6647298.elisabeth.adriaens
